"request-date","order-id","order-type","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2023-07-30T04:56:59-07:00","2307301GMN","Liquidations","Pending","2023-07-30T05:22:03-07:00","Cleaning brush-pack3","X003KIPJ6F","Sellable","2","0",,"0","2",,
"2023-07-28T01:54:56-07:00","230728186K","Liquidations","Pending","2023-07-28T05:41:17-07:00","2F-8PCN-YPAO","X003SMO8PV","Unsellable","1","0",,"0","1",,
"2023-07-27T03:17:44-07:00","2307271C0F","Disposal","Pending","2023-07-27T03:42:47-07:00","W1-7S9K-ZF0V","X002BCJO03","Sellable","7","0","0",,"7",,
"2023-07-27T03:17:44-07:00","2307271C0F","Disposal","Pending","2023-07-27T03:42:47-07:00","Bathtub-1.3-1.6in","X003FLMCS5","Sellable","1","0","0",,"1",,
"2023-07-27T03:17:44-07:00","2307271C0F","Disposal","Pending","2023-07-27T03:42:47-07:00","Screen-8pcs","X003FSGFHH","Sellable","1","0","1",,"0",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","G8-CO5L-EOL6","X002HF85EP","Unsellable","1","0","0",,"1",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","Dumpling-2packs","X003KCWVET","Unsellable","2","0","2",,"0",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","Dumpling-Yellow","X003KCYD63","Unsellable","2","0","1",,"1",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","2","0","2",,"0",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","Dumpling2-4packs","X003KK5M2T","Unsellable","1","0","1",,"0",,
"2023-07-20T20:09:42-07:00","8yY12+nr7k","Disposal","Pending","2023-07-21T19:32:13-07:00","2-pack-Ivory","X003KX4KVZ","Unsellable","1","0","1",,"0",,
"2023-07-20T16:47:51-07:00","eNcDHXUVgE","Liquidations","Completed","2023-07-30T09:06:33-07:00","Template-set3","X003A8GAYP","Unsellable","1","0",,"1","0","0.00","USD"
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","M0-C6T6-GEK2","X001YNIGL3","Unsellable","1","0",,"1","0",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","U8-PI8J-3769","X002UDBVHR","Unsellable","1","0",,"1","0",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","Template-set3","X003A8GAYP","Unsellable","4","0",,"4","0",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","9K-FBJO-XTOF","X003K6AQYR","Unsellable","1","0",,"1","0",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","Dumpling-2packs","X003KCWVET","Unsellable","2","0",,"1","1",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","4","0",,"4","0",,
"2023-07-20T09:38:12-07:00","2307201TMG","Liquidations","Pending","2023-07-20T10:03:36-07:00","Dumpling2-Blue","X003KK8B59","Unsellable","1","0",,"1","0",,
"2023-07-14T22:21:42-07:00","230715YB5","Liquidations","Pending","2023-07-14T22:46:50-07:00","BeanSlicer-3in1Peeler","X003DL1VHZ","Sellable","1","0",,"1","0",,
"2023-07-14T22:21:42-07:00","230715YB5","Liquidations","Pending","2023-07-14T22:46:50-07:00","Chopper-StoragePeeler","X003DL3WIL","Sellable","1","0",,"1","0",,
"2023-07-14T22:21:42-07:00","230715YB5","Liquidations","Pending","2023-07-14T22:46:50-07:00","Bathtub-1.3-1.6in","X003FLMCS5","Sellable","8","0",,"1","7",,
"2023-07-14T22:21:42-07:00","230715YB5","Liquidations","Pending","2023-07-14T22:46:50-07:00","Screen-12packs","X003K4UJW3","Sellable","1","0",,"1","0",,
"2023-07-14T22:12:25-07:00","230715XUU","Liquidations","Pending","2023-07-14T22:37:36-07:00","Template-set3","X003A8GAYP","Unsellable","2","0",,"1","1",,
"2023-07-14T22:12:25-07:00","230715XUU","Liquidations","Pending","2023-07-14T22:37:36-07:00","Dumpling-2packs","X003KCWVET","Unsellable","1","0",,"1","0",,
"2023-07-14T22:12:25-07:00","230715XUU","Liquidations","Pending","2023-07-14T22:37:36-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0",,"1","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","M0-C6T6-GEK2","X001YNIGL3","Unsellable","1","0",,"1","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","PQ-VAPU-PB7S","X002BC0MTF","Unsellable","1","0",,"1","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","V6-9SRV-QZIZ","X002UDI1VV","Unsellable","1","0",,"1","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","4","0",,"4","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","Template-set3","X003A8GAYP","Unsellable","2","0",,"2","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","9K-FBJO-XTOF","X003K6AQYR","Unsellable","4","0",,"4","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","2pack-chargerprotector-white&amp;gray","X003KD711B","Unsellable","2","0",,"2","0",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","2pack-chargerprotector-pink&amp;black","X003KD945H","Unsellable","2","0",,"1","1",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0",,"0","1",,
"2023-07-12T08:51:39-07:00","2307121RGE","Liquidations","Pending","2023-07-12T09:16:52-07:00","2-pack-Ivory","X003KX4KVZ","Unsellable","1","0",,"1","0",,
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","J9-2SPF-6275","X0028QD3SV","Unsellable","1","0","1",,"0","0.97","USD"
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","CY-CI3D-CHYK","X002TM7I8Z","Unsellable","1","0","1",,"0","0.97","USD"
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","1","0","1",,"0","3.89","USD"
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","SpoonRest-Green","X003GAH0HN","Unsellable","1","1","0",,"0",,
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","2pack-chargerprotector-white&amp;gray","X003KD711B","Unsellable","1","0","1",,"0","0.97","USD"
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0","1",,"0","0.97","USD"
"2023-07-05T19:16:06-07:00","SKR0nsbrys","Disposal","Completed","2023-07-26T23:57:01-07:00","8-Pack-Adhesive punch","X003OWLNH1","Unsellable","2","1","1",,"0","0.97","USD"
"2023-07-05T17:42:32-07:00","KE/fXA5THU","Liquidations","Completed","2023-07-19T19:33:19-07:00","CY-CI3D-CHYK","X002TM7I8Z","Unsellable","1","0",,"1","0","0.00","USD"
"2023-07-05T17:42:32-07:00","KE/fXA5THU","Liquidations","Completed","2023-07-19T19:33:19-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","1","0",,"1","0","0.00","USD"
"2023-07-05T17:42:32-07:00","KE/fXA5THU","Liquidations","Completed","2023-07-19T19:33:19-07:00","SpoonRest-Green","X003GAH0HN","Unsellable","1","0",,"1","0","0.00","USD"
"2023-07-05T17:42:32-07:00","KE/fXA5THU","Liquidations","Completed","2023-07-19T19:33:19-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0",,"1","0","0.00","USD"
"2023-07-05T17:42:32-07:00","KE/fXA5THU","Liquidations","Completed","2023-07-19T19:33:19-07:00","8-Pack-Adhesive punch","X003OWLNH1","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","1","0",,"1","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","Template-set3","X003A8GAYP","Unsellable","2","0",,"2","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","Chopper-3in1Peeler","X003DL1W0L","Unsellable","1","0",,"1","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","9K-FBJO-XTOF","X003K6AQYR","Unsellable","4","0",,"3","1",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","Dumpling-2packs","X003KCWVET","Unsellable","5","0",,"5","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","2pack-chargerprotector-white&amp;gray","X003KD711B","Unsellable","1","0",,"1","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","2pack-chargerprotector-pink&amp;black","X003KD945H","Unsellable","1","0",,"1","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0",,"1","0",,
"2023-06-28T06:41:59-07:00","2306281LFZ","Liquidations","Pending","2023-06-28T07:07:29-07:00","UpgradeSpoonRest-Ivory","X003KZP4SV","Unsellable","2","0",,"2","0",,
"2023-06-20T20:23:39-07:00","xoGlwidCvQ","Disposal","Completed","2023-07-04T02:29:35-07:00","Chopper-3in1Peeler","X003DL1W0L","Unsellable","1","0","1",,"0","1.46","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","Template-set3","X003A8GAYP","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","ZI-GZPX-OF5G","X003IT3YK9","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","9K-FBJO-XTOF","X003K6AQYR","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","Dumpling-Yellow","X003KCYD63","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","2pack-chargerprotector-pink&amp;black","X003KD945H","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","3","0",,"3","0","0.00","USD"
"2023-06-18T19:36:14-07:00","230619QMF","Liquidations","Completed","2023-07-20T01:33:42-07:00","2-pack-Ivory","X003KX4KVZ","Unsellable","1","0",,"1","0","0.00","USD"
"2023-06-16T21:01:32-07:00","230617UM9","Liquidations","Pending","2023-06-16T21:26:36-07:00","EK-APQA-YGQB","X0033S6WEF","Sellable","2","0",,"0","2",,
"2023-06-16T21:01:32-07:00","230617UM9","Liquidations","Pending","2023-06-16T21:26:36-07:00","Q4-W1AJ-GWF8","X0033SE0N5","Sellable","7","0",,"6","1",,
"2023-06-16T03:30:29-07:00","2306161CJ5","Disposal","Completed","2023-06-29T16:06:35-07:00","1-12-8-9","X00393NNEB","Sellable","1","0","1",,"0","0.97","USD"
"2023-06-15T04:01:51-07:00","2306151E1B","Disposal","Completed","2023-06-29T14:25:10-07:00","LH-O68E-L3YL","X001X2K75D","Sellable","2","0","2",,"0","1.94","USD"
