"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07GLJ2YNF","X001X2JGO1","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","ABQ1","US","5.59","4.06","0.43","inches","0.07","pounds","0.0056","cubic feet","Standard-Size","5.16","0.0","0.0291","2023-03","0.87","USD","0.0254","--","N","N","0.0","--","0.0"
"B07RYPBYPV","X0026HUHVX","VNFLY Magnetic Hammer Shaped Beer Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","ABQ1","US","6.69","3.82","2.2","inches","0.35","pounds","0.0325","cubic feet","Standard-Size","0.03","0.0","0.001","2023-03","0.87","USD","9.0E-4","--","N","N","0.0","--","0.0"
"B07V279H18","X0028QC9OP","Nidavellir 2-Pack Hammer Keychain Bottle Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","4.0","3.7","1.0","inches","0.25","pounds","0.0086","cubic feet","Standard-Size","0.26","0.0","0.0022","2023-03","0.87","USD","0.0019","--","N","N","0.0","--","0.0"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","1.0","0.0","0.0434","2023-03","0.87","USD","0.0378","--","N","N","0.0","--","0.0"
"B07XX6TFN3","X002BC0MVN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Bronze Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ABQ1","US","9.61","5.0","2.09","inches","0.44","pounds","0.0581","cubic feet","Standard-Size","1.0","0.0","0.0581","2023-03","0.87","USD","0.0506","--","N","N","0.0","--","0.0"
"B07Y8CDXX7","X002BMAK6F","365Home 3-Pack Bronze Glove Keychain Silver Hammer Keychain Red Glove Keychain, Cool Gifts for Men, Husband, Boyfriend","ABQ1","US","5.16","4.65","1.22","inches","0.04","pounds","0.0169","cubic feet","Standard-Size","0.77","0.0","0.0131","2023-03","0.87","USD","0.0114","--","N","N","0.0","--","0.0"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template, Bowl Cozy Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","ABQ1","US","11.89","11.57","0.63","inches","0.71","pounds","0.0502","cubic feet","Standard-Size","0.03","0.0","0.0016","2023-03","0.87","USD","0.0014","--","N","N","0.0","--","0.0"
"B0BJPWWT92","X003FSGFHH","365Home 8 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","ABQ1","US","3.66","2.91","1.5","inches","0.13","pounds","0.0092","cubic feet","Standard-Size","1.0","0.1","0.0084","2023-03","0.87","USD","0.0073","--","N","N","0.0","--","0.0"
"B0BMWZVTKR","X003IWFZDP","365Home 2-Pack Colorful Rotating Magic Ball Light, Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","ABQ1","US","7.95","6.06","4.29","inches","0.71","pounds","0.1196","cubic feet","Standard-Size","20.0","0.0","2.3921","2023-03","0.87","USD","2.0772","--","N","N","0.0","--","0.0"
"B0BNT3972V","X003K4UM4X","365Home 16 Packs Macaron Mobile Phone Screen Cleaning Keychain Wipes, Eyeglass Brush Cleaner, Computer Laptop Cell Phone Screen Cleaner Tool - Glass Cleaning Cloth","ABQ1","US","5.08","3.82","1.97","inches","0.26","pounds","0.0221","cubic feet","Standard-Size","1.0","0.1","0.02","2023-03","0.87","USD","0.0174","--","N","N","0.0","--","0.0"
