"request-date","order-id","order-source","order-type","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2023-10-31T21:15:53-07:00","231101VA9","Seller-initiated Manual Removal","Disposal","Pending","2023-10-31T21:40:56-07:00","2-pack-Ivory","X003KX4KVZ","Sellable","19","0","0",,"19",,
"2023-10-31T21:15:20-07:00","231101V8R","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:40:25-07:00","Bathtub-1.3-1.6in","X003FLMCS5","Sellable","1","0",,"0","1",,
"2023-10-31T21:15:20-07:00","231101V8R","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:40:25-07:00","9K-FBJO-XTOF","X003K6AQYR","Sellable","17","0",,"0","17",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","UU-YNVS-R3DV","X002BC00R9","Unsellable","1","0",,"0","1",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","H5-MZXZ-04N5","X002UDI1W5","Unsellable","1","0",,"1","0",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","2","0",,"2","0",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","Template-set3","X003A8GAYP","Unsellable","4","0",,"2","2",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","2pack-chargerprotector-pink&amp;black","X003KD945H","Unsellable","1","0",,"1","0",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","1","0",,"1","0",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","4U-GGNP-22F6","X003SMOTOB","Unsellable","1","0",,"0","1",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","BE-W3LE-59Z4","X003U2V3NT","Unsellable","1","0",,"0","1",,
"2023-10-31T21:13:46-07:00","231101V5P","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T21:38:59-07:00","Auto-Bag-Suede-Black-Set","X003U37QST","Unsellable","1","0",,"1","0",,
"2023-10-29T20:02:37-07:00","231030RW3","Seller-initiated Manual Removal","Disposal","Pending","2023-10-31T09:49:16-07:00","2-pack-Ivory","X003KX4KVZ","Sellable","3","0","0",,"3",,
"2023-10-29T20:02:10-07:00","231030RTP","Seller-initiated Manual Removal","Liquidations","Pending","2023-10-31T10:12:47-07:00","Bathtub-1.3-1.6in","X003FLMCS5","Sellable","7","0",,"0","7",,
