"Date","FNSKU","ASIN","MSKU","Title","Event Type","Reference ID","Quantity","Fulfillment Center","Disposition","Reason","Country","Reconciled Quantity","Unreconciled Quantity","Date and Time"
"11/30/2023","X003YTO5KV","B0CJ2ZBK9Q","Headphone Organizer- 4Pack","365Home 4-Pack Upgrade Silicone Headphone Organizer, Data Cable Storage Case, Portable Wired Earphone Pouch for Cell Phone Accessories, Storing Earbud, USB Flash Driver, Keys, Mini Lipstick","Shipments","","-1","MKE1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRL9PR","B0CHY6YG5S","Sport-Bowl-Beige","VNFLY Upgrade Snack Bowl for Stanley Cup 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Beige)","WhseTransfers","","-1","TPA1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRL9PR","B0CHY6YG5S","Sport-Bowl-Beige","VNFLY Upgrade Snack Bowl for Stanley Cup 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Beige)","Shipments","","-1","OKC1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRL9PR","B0CHY6YG5S","Sport-Bowl-Beige","VNFLY Upgrade Snack Bowl for Stanley Cup 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Beige)","WhseTransfers","","1","CAE1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRL9PR","B0CHY6YG5S","Sport-Bowl-Beige","VNFLY Upgrade Snack Bowl for Stanley Cup 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Beige)","Shipments","","-1","BDL3","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRJNV9","B0CHY7JSKK","Sport-Bowl-Pink","VNFLY Upgrade Snack Bowl for Stanley 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Pink)","Shipments","","-1","ABQ1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRFZPR","B0CHY63JH2","Sport-Bowl-Green","VNFLY Upgrade Snack Bowl for Stanley 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Green)","Shipments","","-1","RIC2","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YRFZPR","B0CHY63JH2","Sport-Bowl-Green","VNFLY Upgrade Snack Bowl for Stanley 40 oz Tumbler with 5 Compartments, Stanley Cup Snack Tray, Silicone Reusable Stanley Cup Snack Holder, Stanley Bowl Accessories (Green)","Shipments","","-2","RIC2","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YLXCFX","B0CHNR5PGC","Sport-Roller2-Black","VNFLY Elbow Support Automatic Rebound Abdominal Wheel, Ab Roller Wheel for Core Workout with Knee Pad, and Training Guide for Men and Women (Black)","Shipments","","-1","MSP1","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
"11/30/2023","X003YLXCFX","B0CHNR5PGC","Sport-Roller2-Black","VNFLY Elbow Support Automatic Rebound Abdominal Wheel, Ab Roller Wheel for Core Workout with Knee Pad, and Training Guide for Men and Women (Black)","Shipments","","-1","BFI4","SELLABLE",,"US","","","2023-11-30T00:00:00-0800"
