"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Nov 1, 2023 12:10:22 AM PDT","18976581781","Order","112-9409731-8607430","BK-SRB5-DBHK","365Home 3-Pack Silver Hammer Keychain Bronze Glove Keychain Silver Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","1","amazon.com","Standard Orders","Amazon","CORPUS CHRISTI","TX","78411-3025","MarketplaceFacilitator","9.99","0.82","0","0","0","0","0","0","0","0","-0.82","-1.50","-3.31","0","0","5.18"
"Nov 1, 2023 12:14:56 AM PDT","18940669111","Order","111-5111405-4359448","ZW-QWQO-GLBK","365Home Bamboo Silverware Organizer Countertop, Flatware Caddy, Bamboo Utensil Holder for Party, Kitchen Table, Farmhouse","2","amazon.com","Invoiced Orders","Amazon","NEW YORK","NY","10010-5389","MarketplaceFacilitator","44.98","4.00","0","0","0","0","0","0","0","0","-4.00","-6.74","-12.78","0","0","25.46"
"Nov 1, 2023 12:17:07 AM PDT","18976581781","Order","113-0724001-5798606","UU-YNVS-R3DV","Nidavellir 2-Pack Fist Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","1","amazon.com","Standard Orders","Amazon","TOWSON","MD","21286-3143","MarketplaceFacilitator","14.99","0.90","1.35","0.08","0","0","0","0","0","0","-0.98","-2.25","-5.89","0","0","8.20"
"Nov 1, 2023 12:35:08 AM PDT","18976581781","Order","111-7798011-6834652","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 1","1","amazon.com","Standard Orders","Amazon","MIAMI","FL","33166-6608","MarketplaceFacilitator","11.99","0.84","0.25","0","0","0","0","0","-0.25","0","-0.84","-1.80","-4.54","0","0","5.65"
"Nov 1, 2023 12:46:28 AM PDT","18976581781","Order","111-2990792-8445822","4pack-chargerprotector","365Home 4-Pack 2 In 1 Silicone Charger Protector with Cord Wrap, Iphone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with 18W/20W","1","amazon.com","Standard Orders","Amazon","WEST ISLIP","NEW YORK","11795-5052","MarketplaceFacilitator","9.99","0.86","0","0","0","0","0","0","0","0","-0.86","-1.50","-3.47","0","0","5.02"
"Nov 1, 2023 12:56:28 AM PDT","18976581781","Order","113-7109490-2124256","QQ-PCQL-S43B","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","1","amazon.com","Standard Orders","Amazon","CHARLOTTE","NC","28212-6407","MarketplaceFacilitator","8.99","0.65","0","0","0","0","0","0","0","0","-0.65","-1.35","-3.09","0","0","4.55"
"Nov 1, 2023 12:56:35 AM PDT","18976581781","Order","112-1771393-8277069","Auto-Bag-Suede-Black-Set","CONEATI Car Storage Pocket Organizer Between Seats Purse Holder for Car Between front Seats Car Handbag Holder with 4 Pcs Seat Headrest Hook, 2 Pcs Cu","1","amazon.com","Standard Orders","Amazon","RENO","NV","89523-1518","MarketplaceFacilitator","18.69","1.54","0","0","0","0","0","0","0","0","-1.54","-2.24","-6.89","0","0","9.56"
"Nov 1, 2023 1:10:54 AM PDT","18976581781","Order","114-6938925-3152232","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 1","1","amazon.com","Standard Orders","Amazon","BROOKLYN","NY","11232-1804","MarketplaceFacilitator","11.99","1.06","1.20","0","0","0","0","0","-1.20","0","-1.06","-1.80","-4.54","0","0","5.65"
"Nov 1, 2023 1:12:15 AM PDT","18976581781","Order","111-9333202-4063469","10-Pack-Adhesive punch","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips","1","amazon.com","Standard Orders","Amazon","HILLIARD","OH","43026-9295","MarketplaceFacilitator","8.99","0.67","0.75","0","0","0","0","0","-0.75","0","-0.67","-1.35","-3.47","0","0","4.17"
"Nov 1, 2023 1:20:27 AM PDT","18976581781","Order","113-3481012-1961042","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 1","1","amazon.com","Standard Orders","Amazon","Madison","NJ","07940-2826","MarketplaceFacilitator","9.99","0.66","0","0","0","0","0","0","0","0","-0.66","-1.50","-3.47","0","0","5.02"
"Nov 1, 2023 1:28:37 AM PDT","18976581781","Order","112-7868955-6721064","10-Pack-Adhesive punch","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips","1","amazon.com","Standard Orders","Amazon","PHILADELPHIA","PA","19140","MarketplaceFacilitator","8.99","0.47","1.50","0.09","0","0","0","0","0","0","-1.12","-2.70","-6.46","0","0","0.77"
"Nov 1, 2023 1:28:37 AM PDT","18976581781","Order","112-7868955-6721064","10-Pack-Adhesive punch","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips","1","amazon.com","Standard Orders","Amazon","PHILADELPHIA","PA","19140","","8.99","0.47","1.49","0.09","0","0","0","0","0","0","0","0","-3.47","0","0","7.57"
"Nov 1, 2023 1:32:27 AM PDT","18976581781","Order","112-4285818-4857015","XQ-0Y06-30OS","365Home Kebab Maker Mould Plastic Kabob Maker Press Barbecue Meat Skewer Kebab Maker BBQ Gadget (Green)","1","amazon.com","Standard Orders","Amazon","STERLING HEIGHTS","MI","48312-3741","MarketplaceFacilitator","12.99","0.78","2.14","0","0","0","0","0","-2.14","0","-0.78","-1.95","-4.38","0","0","6.66"
"Nov 1, 2023 1:46:12 AM PDT","18976581781","Order","113-4440595-0688224","BE-W3LE-59Z4","1TO3GO?Upgrade? Adjustable Dog Training Collar with 4 Extra Links for Medium, Large and X-Large Dogs (Improved o-Ring)","1","amazon.com","Standard Orders","Amazon","YORKTOWN","VA","23692-4220","MarketplaceFacilitator","11.99","0.84","0","0","0","0","0","0","0","0","-0.84","-1.80","-4.38","0","0","5.81"
"Nov 1, 2023 1:46:37 AM PDT","18976581781","Order","113-4584448-2426643","XL-RPK0-R1MV","Nidavellir 2-Pack Hammer Keychain Bottle Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","1","amazon.com","Standard Orders","Amazon","IRVINE","CA","92618-1352","MarketplaceFacilitator","11.99","0.93","0","0","0","0","0","0","0","0","-0.93","-1.80","-4.16","0","0","6.03"
"Nov 1, 2023 1:46:53 AM PDT","18976581781","Order","113-6840104-4543458","10-Pack-Adhesive punch","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips","1","amazon.com","Standard Orders","Amazon","CUMMING","IA","50061-9344","MarketplaceFacilitator","8.99","0.63","0","0","0","0","0","0","0","0","-0.63","-1.35","-3.47","0","0","4.17"
"Nov 1, 2023 1:56:34 AM PDT","18976581781","Order","113-3639816-5570669","4pack-chargerprotector","365Home 4-Pack 2 in 1 Silicone Charger Protector with Cord Wrap, iPhone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with iPhone 1","1","amazon.com","Standard Orders","Amazon","FRANKLIN FURNACE","OH","45629-8825","MarketplaceFacilitator","11.99","0.87","0.38","0","0","0","0","0","-0.38","0","-0.87","-1.80","-4.54","0","0","5.65"
"Nov 1, 2023 1:57:22 AM PDT","18976581781","Order","113-2130055-8693056","10-Pack-Adhesive punch","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips","1","amazon.com","Standard Orders","Amazon","MASSILLON","OH","44647-5186","MarketplaceFacilitator","8.99","0.58","0","0","0","0","0","0","0","0","-0.58","-1.35","-3.47","0","0","4.17"
"Nov 1, 2023 2:00:22 AM PDT","18976581781","Order","113-9861844-2664244","Template-set3","365Home Bowl Cozy Template 3 Sizes, Bowl Cozy Pattern Template Cutting Ruler Set with 40 Pcs of Sewing Pin and Manual Instruction","1","amazon.com","Standard Orders","Amazon","Pflugerville","TX","78660","MarketplaceFacilitator","11.99","0.99","0","0","0","0","0","0","0","0","-0.99","-1.80","-3.78","0","0","6.41"
"Nov 1, 2023 2:14:50 AM PDT","18976581781","Order","111-9666116-9357803","T6-TSEL-DO36","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","1","amazon.com","Standard Orders","Amazon","ONEONTA","NY","13820-2746","MarketplaceFacilitator","8.99","0.72","0","0","0","0","0","0","0","0","-0.72","-1.35","-2.45","0","0","5.19"
