"sku","fnsku","asin","product-name","condition","your-price","mfn-listing-exists","mfn-fulfillable-quantity","afn-listing-exists","afn-warehouse-quantity","afn-fulfillable-quantity","afn-unsellable-quantity","afn-reserved-quantity","afn-total-quantity","per-unit-volume","afn-inbound-working-quantity","afn-inbound-shipped-quantity","afn-inbound-receiving-quantity","afn-researching-quantity","afn-reserved-future-supply","afn-future-supply-buyable"
"10-Pack-Adhesive punch","X003RX73ZX","B0C1B86RC9","365Home 10-Pack Adhesive Punch-Free Socket Holder, Self Adhesive Desktop Socket Fixer, Power Strip Holder Wall Mount with 20 Pcs Cable Organizer Clips, Suitable for WiFi Routers, Remote Controls","New","9.99","No",,"Yes","414","332","0","81","939","0.04","0","525","0","1","0","599"
"1R-UXYH-YNJ4","X002HF85EF","B085LBD2JD","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","10.99","No",,"Yes","34","33","0","1","34","0.01","0","0","0","0","0","0"
"2-pack-Ivory","X003KX4KVZ","B0BR3PJZJ4","365Home 2-Pack Spoon and Lid Rest for Stove Top, Spoon Rest with Pot Lid Holder and 2-Pack Spill-proof Lid Lifter, Spatula Ladle Utensil Rest for Kitchen Counter, Gadgets Accessories for Cooking","New","10.99","No",,"Yes","20","2","0","18","20","0.06","0","0","0","0","0","0"
"2-pack-Lampnew-360socket","X003IWFZDP","B0BMWZVTKR","365Home Colorful Rotating Magic Ball Light, 2-Pack Magic Light Bulb with Sockets, Plug in Disco Ball Light Bulb for Home Room Dance Parties","New","18.99","No",,"Yes","48","0","1","46","168","0.12","0","120","0","1","0","0"
"2F-8PCN-YPAO","X003SMO8PV","B0C2Z6W4PC","1TO3GO Pet Grooming Gloves Pet Hair Remover Cat, Dog Washing Gloves Silicone Heat Resistant Cleaning Gloves with High-Density Teeth Grooming Gloves for Dogs, Cats, Horses, Rabbits (2 Pairs - Blue)","New","18.99","No",,"Yes","82","82","0","0","82","0.11","0","0","0","0","0","0"
"2K-XVBD-O0R9","X002NATMU5","B08HWTQCLL","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","New","9.99","No",,"Yes","50","48","0","2","50","0","0","0","0","0","0","0"
"2S-BUFD-NO5E","X0040VDEIB","B0CM6JC6DZ","1TO3GO Pet Brush Self-Cleaning and Grooming Brush for Cat, Dog (Orange)","New","13.99","No",,"Yes","0","0","0","0","15","0.05","0","15","0","0","0","15"
"2T-IZPZ-YVQK","X002BMAK6F","B07Y8CDXX7","365Home 3-Pack Bronze Glove Keychain Silver Hammer Keychain Red Glove Keychain, Cool Gifts for Men, Husband, Boyfriend","New","13.99","No",,"Yes","68","65","0","3","68","0.02","0","0","0","0","0","0"
"2pack-chargerprotector-pink&black","X003KD945H","B0BPHZT4JJ","365Home 2-Pack 2 In 1 Silicone Charger Protector with Cord Wrap, Iphone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with 18W/20W Charger - 1.65 x 1.1 inches (Charger not Included)","New","9.99","No",,"Yes","182","130","1","47","723","0.01","360","180","1","4","0","0"
"2pack-chargerprotector-white&gray","X003KD711B","B0BPHXQM78","365Home 2-Pack 2 In 1 Silicone Charger Protector with Cord Wrap, Iphone Silicone Power Adapter Case, Snapback Charger Winder, Compatible with 18W/20W Charger - 1.65 x 1.1 inches (Charger not Included)","New","9.99","No",,"Yes","411","0","2","409","1312","0.01","540","360","1","0","0","359"
