"snapshot-date","sku","fnsku","asin","product-name","condition","per-unit-volume","currency","volume-unit","country","qty-charged","amount-charged","surcharge-age-tier","rate-surcharge"
"2023-05-15T08:01:00+00:00","UV-T1KY-367W","X0030CGYG5","B09FPZNRX9","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","New","0.0286","USD","cubic_feet","US","2","0.03","181-210","0.015"
"2023-05-15T08:01:00+00:00","H5-MZXZ-04N5","X002UDI1W5","B08ZNH2YZW","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","New","0.0613","USD","cubic_feet","US","1","0.03","181-210","0.03"
"2023-05-15T08:01:00+00:00","V6-9SRV-QZIZ","X002UDI1VV","B08ZNH5HQP","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","New","0.0668","USD","cubic_feet","US","1","0.03","181-210","0.03"
"2023-05-15T08:01:00+00:00","CY-CI3D-CHYK","X002TM7I8Z","B08XWY4F7C","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","New","0.0463","USD","cubic_feet","US","50","2.32","211-240","0.04666666666666666"
"2023-05-15T08:01:00+00:00","2K-XVBD-O0R9","X002NATMU5","B08HWTQCLL","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","New","0.0013","USD","cubic_feet","US","2","0.00","181-210","0.0"
"2023-05-15T08:01:00+00:00","QQ-PCQL-S43B","X002L0EXYR","B08CXG45F4","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","New","0.0152","USD","cubic_feet","US","7","0.05","181-210","0.0071428571428571435"
"2023-05-15T08:01:00+00:00","NA-IJIA-SZS9","X002GW0GM3","B084Z4Y8ZY","365Home 2-Pack Our First Home 2023 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 2)","New","7.0E-4","USD","cubic_feet","US","1","0.00","271-300","0.0"
"2023-05-15T08:01:00+00:00","C5-3MBH-AW2X","X002CII6L9","B07Z779DMH","365Home Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Red Copper)","New","0.0035","USD","cubic_feet","US","2","0.00","181-210","0.0"
"2023-05-15T08:01:00+00:00","MK-ILTU-2KQK","X002BC0MVN","B07XX6TFN3","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Bronze Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.0581","USD","cubic_feet","US","3","0.66","271-300","0.22"
"2023-05-15T08:01:00+00:00","YM-DCJF-STWH","X002BBZ4MB","B07XM2WL3W","Nidavellir 2-Pack Fist Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","New","0.032","USD","cubic_feet","US","1","0.02","181-210","0.02"
"2023-05-15T08:01:00+00:00","5S-LEF4-2V5E","X001X2JGO1","B07GLJ2YNF","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","New","0.0056","USD","cubic_feet","US","117","2.49","271-300","0.02"
