"request-date","order-id","order-type","order-status","last-updated-date","sku","fnsku","disposition","requested-quantity","cancelled-quantity","disposed-quantity","shipped-quantity","in-process-quantity","removal-fee","currency"
"2023-09-28T17:50:43-07:00","230929LQZ","Liquidations","Pending","2023-09-28T20:48:13-07:00","Bathtub-1.3-1.6in","X003FLMCS5","Sellable","8","0",,"0","8",,
"2023-09-28T17:50:43-07:00","230929LQZ","Liquidations","Pending","2023-09-28T20:48:13-07:00","Screen-8pcs","X003FSGFHH","Sellable","1","0",,"0","1",,
"2023-09-28T17:50:43-07:00","230929LQZ","Liquidations","Pending","2023-09-28T20:48:13-07:00","Screen-12packs","X003K4UJW3","Sellable","3","0",,"0","3",,
"2023-09-28T17:50:43-07:00","230929LQZ","Liquidations","Pending","2023-09-28T20:48:13-07:00","Screen-16packs","X003K4UM4X","Sellable","6","0",,"0","6",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","55-RUZS-K9Y2","X001X335DX","Unsellable","2","0",,"2","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","G8-CO5L-EOL6","X002HF85EP","Unsellable","1","0",,"1","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","ZW-QWQO-GLBK","X0032LIU4D","Unsellable","1","1",,"0","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","Template-set3","X003A8GAYP","Unsellable","1","1",,"0","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","2pack-chargerprotector-white&amp;gray","X003KD711B","Unsellable","1","1",,"0","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","2pack-chargerprotector-pink&amp;black","X003KD945H","Unsellable","1","1",,"0","0",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","4","2",,"0","2",,
"2023-09-27T19:29:18-07:00","230928QB9","Liquidations","Pending","2023-09-27T19:54:27-07:00","Sport-Roller","X003TOBEQT","Unsellable","1","1",,"0","0",,
"2023-09-22T19:21:36-07:00","230923PY6","Liquidations","Pending","2023-09-22T23:47:44-07:00","Template-set3","X003A8GAYP","Unsellable","2","0",,"2","0",,
"2023-09-22T19:21:36-07:00","230923PY6","Liquidations","Pending","2023-09-22T23:47:44-07:00","9K-FBJO-XTOF","X003K6AQYR","Unsellable","1","0",,"1","0",,
"2023-09-22T19:21:36-07:00","230923PY6","Liquidations","Pending","2023-09-22T23:47:44-07:00","4pack-chargerprotector","X003KD97CR","Unsellable","3","0",,"2","1",,
